Date;Soc Gen CTA Index;Soc Gen CTA Trend Index
21/02/2002;110,2438627;107,9230503
22/02/2002;109,8492999;107,1027272
25/02/2002;109,8663265;107,5098246
26/02/2002;110,2909599;108,4564486
27/02/2002;110,0248278;108,1737027
28/02/2002;109,3690798;106,7567354
01/03/2002;109,1128281;106,3084638
04/03/2002;108,4864113;105,2454855
05/03/2002;108,4558182;105,0138402
06/03/2002;108,1522503;104,4151563
07/03/2002;107,9610371;104,0501209
08/03/2002;108,1718851;104,9656579
11/03/2002;108,1933031;105,3226461
12/03/2002;107,8637463;104,6377329
13/03/2002;107,6458615;104,1042898
14/03/2002;108,3308121;105,4158997
15/03/2002;108,5641567;105,8059386
18/03/2002;108,5939033;105,8379978
19/03/2002;108,8802654;106,2400763
20/03/2002;109,117951;106,2500629
21/03/2002;109,3744873;106,7494382
22/03/2002;109,228363;106,1197232
25/03/2002;109,1569277;105,7376922
26/03/2002;108,6382139;105,220212
27/03/2002;108,7112188;105,6403563
28/03/2002;109,6607026;107,3200379
29/03/2002;109,5593761;107,0954171
01/04/2002;110,0837273;108,1332788
02/04/2002;110,5096412;109,1290781
03/04/2002;109,3626617;106,9349289
04/04/2002;108,3587124;104,946367
05/04/2002;107,6246905;103,6237279
08/04/2002;107,6369597;104,0900347
09/04/2002;107,2097486;103,1534325
10/04/2002;107,6263657;103,988769
11/04/2002;107,3219984;102,72021
12/04/2002;106,1711846;100,1831236
15/04/2002;106,2722595;100,6635017
16/04/2002;106,4467586;101,4185786
17/04/2002;107,3526205;102,7472634
18/04/2002;107,4305585;103,0249892
19/04/2002;107,5805316;103,1694303
22/04/2002;107,2483229;102,9828999
23/04/2002;107,2950832;103,1373743
24/04/2002;107,3985156;102,9318215
25/04/2002;107,8906156;103,5796744
26/04/2002;108,2436337;104,3467855
29/04/2002;108,2609527;104,7328686
30/04/2002;107,960312;104,4290385
01/05/2002;108,5056196;105,0658468
02/05/2002;107,8848589;104,1312861
03/05/2002;109,3663338;106,6091942
06/05/2002;109,1046202;106,2250812
07/05/2002;109,2281266;106,4055576
08/05/2002;108,0781729;103,8413965
09/05/2002;108,7551745;105,1189572
10/05/2002;109,5009088;106,71645
